step,raw_loss,smooth_loss
0,4.170827865600586,4.170827865600586
1,4.167472839355469,4.170660114288331
2,4.163873195648193,4.170320768356324
3,4.161833763122559,4.169896418094636
4,4.160890102386475,4.1694461023092275
5,4.155958652496338,4.168771729818583
6,4.155224323272705,4.168094359491289
7,4.151249885559082,4.167252135794679
8,4.146073341369629,4.166193196073427
9,4.145330429077148,4.165150057723613
10,4.145501613616943,4.16416763551828
11,4.142102241516113,4.163064365818171
12,4.141130447387695,4.161967669896647
13,4.139959335327148,4.160867253168172
14,4.132266521453857,4.1594372165824565
15,4.130308628082275,4.157980787157447
16,4.131021976470947,4.156632846623122
17,4.130765914916992,4.155339500037815
18,4.132442951202393,4.154194672596044
19,4.126380920410156,4.1528039849867495
20,4.124509811401367,4.151389276307481
21,4.122685432434082,4.14995408411381
22,4.122456073760986,4.148579183596169
23,4.115192890167236,4.146909868924722
24,4.117142200469971,4.145421485501984
25,4.114037990570068,4.143852310755388
26,4.11086368560791,4.142202879498014
27,4.108368873596191,4.140511179202923
28,4.10022497177124,4.138496868831338
29,4.097076416015625,4.136425846190552
30,4.103091716766357,4.134759139719343
31,4.099337577819824,4.132988061624367
32,4.098886013031006,4.1312829591946985
33,4.092445373535156,4.129341079911721
34,4.087669849395752,4.127257518385923
35,4.092720985412598,4.125530691737257
36,4.084963798522949,4.123502347076542
37,4.085518836975098,4.12160317157147
38,4.07807731628418,4.119426878807106
39,4.081594944000244,4.117535282066763
40,4.079483509063721,4.115632693416611
41,4.072070121765137,4.113454564834037
42,4.071340560913086,4.11134886463799
43,4.071394443511963,4.109351143581689
44,4.067909240722656,4.107279048438738
45,4.072824478149414,4.105556319924271
46,4.063967704772949,4.103476889166705
47,4.0619282722473145,4.101399458320736
48,4.055602073669434,4.099109589088171
49,4.057044982910156,4.09700635877927
50,4.051959991455078,4.0947540404130605
51,4.0538010597229,4.092706391378552
52,4.04697322845459,4.090419733232354
53,4.04399299621582,4.088098396381527
54,4.042114734649658,4.0857992132949335
55,4.042163848876953,4.083617445074034
56,4.040790557861328,4.081476100713399
57,4.033064365386963,4.079055513947077
58,4.045396327972412,4.077372554648344
59,4.037694454193115,4.075388649625582
60,4.048635005950928,4.074050967441849
61,4.031663417816162,4.071931589960565
62,4.037246227264404,4.070197321825757
63,4.0225605964660645,4.067815485557773
64,4.0167646408081055,4.06526294332029
65,4.0015869140625,4.0620791418574
66,4.023185729980469,4.060134471263553
67,4.000429630279541,4.057149229214352
68,4.016075611114502,4.055095548309359
69,4.014657020568848,4.053073621922334
70,4.016711711883545,4.051255526420394
71,3.9994869232177734,4.048667096260263
72,4.007339000701904,4.046600691482345
73,4.005309581756592,4.044536135996058
74,3.9997525215148926,4.042296955272
75,3.993403434753418,4.0398522792460705
76,3.9894745349884033,4.037333392033187
77,3.982813596725464,4.034607402267801
78,3.984170436859131,4.0320855539973675
79,3.9879844188690186,4.02988049724095
80,3.985091209411621,4.027641032849483
81,3.9761838912963867,4.025068175771828
82,3.9557547569274902,4.021602504829612
83,3.9853267669677734,4.019788717936519
84,3.9722659587860107,4.017412579978994
85,3.9931089878082275,4.016197400370456
86,3.972992181777954,4.0140371394408305
87,3.9761366844177246,4.012142116689676
88,3.948941230773926,4.008982072393888
89,3.9572291374206543,4.006394425645226
90,3.942392587661743,4.003194333746052
91,3.946509838104248,4.000360108963962
92,3.9573211669921875,3.998208161865373
93,3.9554498195648193,3.9960702447503453
94,3.9479281902313232,3.993663142024394
95,3.949742078781128,3.991467088862231
96,3.9320425987243652,3.988495864355338
97,3.9433178901672363,3.986236965645933
98,3.9222521781921387,3.9830377262732433
99,3.9233286380767822,3.98005227186342
100,3.9468483924865723,3.978392077894578
101,3.9088454246520996,3.974914745232454
102,3.9125959873199463,3.9717988073368287
103,3.926649332046509,3.969541333572313
104,3.906649112701416,3.966396722528768
105,3.90067195892334,3.9631104843484968
106,3.897653579711914,3.959837639116668
107,3.886643886566162,3.9561779514891424
108,3.8984596729278564,3.953292037561078
109,3.8874990940093994,3.950002390383494
110,3.880359411239624,3.9465202414263008
111,3.8951363563537598,3.9439510471726735
112,3.880052089691162,3.9407560992985977
113,3.865349531173706,3.936985770892353
