step,raw_loss,smooth_loss
0,4.186496734619141,4.186496734619141
1,4.195396423339844,4.186941719055176
2,4.1839599609375,4.1867926311492925
3,4.149593830108643,4.18493269109726
4,4.182372570037842,4.1848046850442895
5,4.136383056640625,4.182383603624106
6,4.1359992027282715,4.180064383579315
7,4.190732955932617,4.18059781219698
8,4.142431735992432,4.178689508386753
9,4.128021240234375,4.176156094979134
10,4.130125999450684,4.173854590202711
11,4.144529819488525,4.172388351667002
12,4.144737720489502,4.171005820108127
13,4.117773532867432,4.168344205746092
14,4.085850238800049,4.164219507398791
15,4.151932716369629,4.163605167847333
16,4.097375392913818,4.160293679100658
17,4.083637714385986,4.156460880864924
18,4.094864845275879,4.153381079085472
19,4.151163578033447,4.153270204032871
20,4.1090874671936035,4.151061067190907
21,4.117796421051025,4.149397834883914
22,4.0800395011901855,4.1459299181992275
23,4.074738025665283,4.14237032357253
24,4.037946701049805,4.137149142446393
25,4.067845821380615,4.133683976393105
26,4.100196838378906,4.132009619492394
27,4.005099773406982,4.125664127188124
28,3.9813413619995117,4.118447988928693
29,4.101802349090576,4.117615706936787
30,4.0324015617370605,4.113354999676801
31,4.102508544921875,4.112812676939055
32,3.9142961502075195,4.102886850602478
33,4.047685623168945,4.100126789230801
34,4.033563613891602,4.096798630463841
35,4.070757865905762,4.095496592235937
36,3.9720206260681152,4.089322793927546
37,4.003665924072266,4.085039950434782
38,3.997781991958618,4.080677052510974
39,3.950953245162964,4.074190862143573
40,4.019346237182617,4.071448630895525
41,3.9442622661590576,4.065089312658702
42,3.925621747970581,4.058115934424296
43,3.9627647399902344,4.053348374702593
44,3.9440979957580566,4.047885855755366
45,3.8725342750549316,4.039118276720345
46,3.99180269241333,4.0367524975049935
47,3.9417755603790283,4.032003650648695
48,3.9781241416931152,4.029309675200916
49,3.876641035079956,4.021676243194868
50,3.9344232082366943,4.0173135914469595
51,3.914977788925171,4.01219680132087
52,3.920599937438965,4.007616958126775
53,4.031648635864258,4.008818542013649
54,3.8192808628082275,3.9993416580533774
55,3.902867078781128,3.9945179290897648
56,3.9865520000457764,3.9941196326375654
57,4.003159046173096,3.994571603314342
58,3.885786294937134,3.989132337895482
59,3.8303024768829346,3.9811908448448543
60,3.8097195625305176,3.972617280729138
61,3.8945159912109375,3.968712216253228
62,3.8140625953674316,3.9609797352089378
63,3.8356497287750244,3.954713234887242
64,3.934354305267334,3.9536952884062466
65,3.9379913806915283,3.9529100930205106
66,3.8918936252593994,3.949859269632455
67,3.8177149295806885,3.943252052629867
68,3.844348669052124,3.93830688345098
69,3.822720527648926,3.932527565660877
70,3.9055826663970947,3.931180320697688
71,3.7756457328796387,3.9234035913067853
72,3.9034454822540283,3.9224056858541476
73,3.8388924598693848,3.9182300245549095
74,3.6999876499176025,3.907317905823044
75,3.7637975215911865,3.900141886611451
76,3.6466705799102783,3.8874683212763923
77,3.7659945487976074,3.881394632652453
78,3.859292507171631,3.880289526378412
79,3.6838979721069336,3.8704699486648377
80,3.8198397159576416,3.867938437029478
81,3.9207558631896973,3.870579308337489
82,3.9270999431610107,3.873405340078665
83,3.512312173843384,3.8553506817669008
84,3.7092926502227783,3.848047780189695
85,3.8488144874572754,3.8480861155530737
86,3.9117939472198486,3.8512715071364125
87,3.6565685272216797,3.841536358140676
88,3.770185947418213,3.837968837604553
89,3.8155293464660645,3.8368468630476285
90,3.679546356201172,3.8289818377053058
91,3.770551919937134,3.826060341816897
92,3.6990413665771484,3.8197093930549095
93,3.8115427494049072,3.8193010608724096
94,3.753074884414673,3.815989752049523
95,3.9062018394470215,3.820500356419398
96,3.467463254928589,3.802848501344857
97,3.6057071685791016,3.7929914347065696
98,3.5485198497772217,3.7807678554601023
99,3.7476491928100586,3.7791119223276
100,3.5828452110290527,3.7692985867626727
101,3.674696207046509,3.7645684677768645
102,3.785677909851074,3.765623939880575
